# t x0 y0 vx0 vy0 x1 y1 vx1 vy1 x2 y2 vx2 vy2 E Px Py r_probe_earth perigee
6.3000000000e+03 6.5870163480e+02 3.6777292533e+00 2.0910678927e-01 1.7512839115e-03 3.8434647209e+08 6.4383011376e+06 -1.6992594170e+01 1.0218576858e+03 3.1409859094e+08 7.5592522725e+06 -1.9176047678e+01 1.1996439736e+03 -3.7819715772e+28 1.2181520232e+08 7.5106780000e+25 3.1418888153e+08 3.0778800000e+08
6.6000000000e+03 7.2292714653e+02 4.2285292772e+00 2.1906326647e-01 1.9220398118e-03 3.8434125295e+08 6.7448563781e+06 -1.7801684955e+01 1.0218438097e+03 3.1409270120e+08 7.9191402991e+06 -2.0088900507e+01 1.1996092682e+03 -3.7819715772e+28 2.8300415012e+07 7.5106780000e+25 3.1419179418e+08 3.0778800000e+08
6.9000000000e+03 7.9013958088e+02 4.8317472738e+00 2.2901960568e-01 2.1007370461e-03 3.8433579108e+08 7.0514073589e+06 -1.8610764527e+01 1.0218292883e+03 3.1408653761e+08 8.2790176722e+06 -2.1001712555e+01 1.1995729503e+03 -3.7819715772e+28 5.7601176589e+07 7.5106780000e+25 3.1419484212e+08 3.0778800000e+08
7.2000000000e+03 8.6033889551e+02 5.4897656273e+00 2.3897580062e-01 2.2873755052e-03 3.8433008649e+08 7.3579538865e+06 -1.9419832376e+01 1.0218141216e+03 3.1408010018e+08 8.6388839081e+06 -2.1914481969e+01 1.1995350202e+03 -3.7819715772e+28 -1.0844232079e+08 7.5106780000e+25 3.1419802532e+08 3.0778800000e+08
7.5000000000e+03 9.3352504620e+02 6.2049666880e+00 2.4893184503e-01 2.4819550750e-03 3.8432413918e+08 7.6644957673e+06 -2.0228887992e+01 1.0217983095e+03 3.1407338892e+08 8.9987385231e+06 -2.2827206896e+01 1.1994954781e+03 -3.7819715772e+28 -4.9043263280e+07 7.5106780000e+25 3.1420134376e+08 3.0778800000e+08
7.8000000000e+03 1.0096979868e+03 6.9797327715e+00 2.5888773263e-01 2.6844756367e-03 3.8431794916e+08 7.9710328077e+06 -2.1037930865e+01 1.0217818521e+03 3.1406640386e+08 9.3585810338e+06 -2.3739885485e+01 1.1994543243e+03 -3.7819715772e+28 -4.0327898873e+08 7.5106780000e+25 3.1420479741e+08 3.0778800000e+08
8.1000000000e+03 1.0888576695e+03 7.8164461569e+00 2.6884345715e-01 2.8949370665e-03 3.8431151642e+08 8.2775648140e+06 -2.1846960486e+01 1.0217647494e+03 3.1405914500e+08 9.7184109566e+06 -2.4652515881e+01 1.1994115591e+03 -3.7819715772e+28 -4.0332057512e+08 7.5106780000e+25 3.1420838624e+08 3.0778800000e+08
8.4000000000e+03 1.1710040442e+03 8.7174890854e+00 2.7879901233e-01 3.1133392357e-03 3.8430484098e+08 8.5840915928e+06 -2.2655976345e+01 1.0217470015e+03 3.1405161235e+08 1.0078227808e+07 -2.5565096234e+01 1.1993671827e+03 -3.7819715772e+28 -4.6385692651e+08 7.5106780000e+25 3.1421211022e+08 3.0778800000e+08
8.7000000000e+03 1.2561370593e+03 9.6852437589e+00 2.8875439188e-01 3.3396820110e-03 3.8429792284e+08 8.8906129504e+06 -2.3464977933e+01 1.0217286082e+03 3.1404380594e+08 1.0438031105e+07 -2.6477624692e+01 1.1993211954e+03 -3.7819715772e+28 -2.8158138438e+08 7.5106780000e+25 3.1421596933e+08 3.0778800000e+08
9.0000000000e+03 1.3442566611e+03 1.0722092339e+01 2.9870958954e-01 3.5739652539e-03 3.8429076200e+08 9.1971286932e+06 -2.4273964740e+01 1.0217095697e+03 3.1403572578e+08 1.0797820364e+07 -2.7390099402e+01 1.1992735976e+03 -3.7819715772e+28 -5.3052422617e+07 7.5106780000e+25 3.1421996352e+08 3.0778800000e+08
