# t x0 y0 vx0 vy0 x1 y1 vx1 vy1 x2 y2 vx2 vy2 E Px Py r_probe_earth altitude_probe perigee dt_used a_probe P_drag
36960 22608.5514252292 740.118818773742 1.22243148693221 0.0600558960350022 382910441.728548 37712965.263338 -99.355728186496 1017.11882886997 312078221.857676 44202053.0463805 -112.308834671727 1187.86851823843 -3.77441165071145e+28 16112592902.41 7.50934940000002e+25 315170528.223152 308792428.223152 307780900 16 0.0030772927272818 0
37120 22804.5624599701 749.769386740232 1.22770641073942 0.0605765772349284 382894510.513345 37875700.8928289 -99.7844588774148 1017.07650939414 312060213.948436 44392103.6627796 -112.790020084483 1187.76411400807 -3.77441165071145e+28 17783647455.5665 7.50934940000002e+25 315179214.347647 308801114.347647 307780900 16 0.00307747762942949 0
37280 23001.4174649321 759.503443066904 1.23298111453975 0.0610995005220576 382878510.702661 38038429.7366251 -100.213171686805 1017.03400768788 312042129.054692 44582137.5395903 -113.271140934223 1187.65927341315 -3.77441165071145e+28 16915387858.3417 7.50934940000002e+25 315187936.442844 308809836.442844 307780900 16 0.00307766307904998 0
37440 23199.1164048387 769.321346480399 1.23825559738774 0.0616246658049437 382862442.299363 38201151.7655704 -100.641866537822 1016.99132375863 312023967.186795 44772154.6070088 -113.752196947854 1187.5539966371 -3.77441165071145e+28 17004205088.7299 7.50934940000002e+25 315196694.489189 308818594.489189 307780900 16 0.00307784907321905 0
37600 23397.6592442616 779.223455692696 1.24352985833797 0.0621520729917481 382846305.306331 38363866.9505097 -101.070543353625 1016.94845761386 312005728.355141 44962154.795261 -114.233187852355 1187.44828386403 -3.77441165071145e+28 16181775816.5857 7.50934940000002e+25 315205488.467052 308827388.467052 307780900 16 0.00307803560900637 0
37760 23597.0459476218 789.210129401049 1.24880389644505 0.0626817219902402 382830099.726456 38526575.2622891 -101.499202057376 1016.90540926105 311987412.57017 45152138.034602 -114.71411337478 1187.34213527869 -3.77441165071145e+28 14346834094.4397 7.50934940000002e+25 315214318.356733 308836218.356733 307780900 16 0.00307822268347555 0
37920 23797.2764791887 799.281726287923 1.25407771076364 0.063213612707797 382813825.562642 38689276.6717559 -101.92784257224 1016.86217870775 311969019.842363 45342104.2553167 -115.194973242253 1187.23555106652 -3.77441165071145e+28 15637934378.5007 7.50934940000002e+25 315223184.138456 308845084.138456 307780900 16 0.00307841029368423 0
38080 23998.3508030804 809.438605020934 1.25935130034842 0.0637477450514033 382797482.817807 38851971.1497586 -102.356464821383 1016.8187659615 311950550.182248 45532053.3877197 -115.675767181973 1187.12853141364 -3.77441165071146e+28 16474437204.1999 7.50934940000002e+25 315232085.792371 308853985.792371 307780900 16 0.00307859843668415 0
38240 24200.268883264 819.681124252781 1.26462466425413 0.0642841189276517 382781071.494878 39014658.667147 -102.785068727978 1016.7751710299 311932003.600396 45721985.3621555 -116.156494921215 1187.02107650679 -3.77441165071146e+28 15338469010.5556 7.50934940000002e+25 315241023.298557 308862923.298557 307780900 16 0.00307878710952121 0
38400 24403.0306835551 830.009642621188 1.26989780153552 0.0648227342427427 382764591.596796 39177339.194772 -103.213654215198 1016.73139392058 311913380.107419 45911900.1089984 -116.637156187328 1186.91318653342 -3.77441165071146e+28 12686209583.8998 7.50934940000002e+25 315249996.637019 308871896.637019 307780900 16 0.00307897630923554 0
38560 24606.6361676183 840.424518748841 1.27517071124739 0.0653635909024845 382748043.126515 39340012.7034859 -103.64222120622 1016.68743464119 311894679.713975 46101797.5586527 -117.117750707733 1186.80486168161 -3.77441165071146e+28 16346172029.9694 7.50934940000002e+25 315259005.787686 308880905.787686 307780900 16 0.00307916603286159 0
38720 24811.0852989668 850.926111243321 1.28044339244459 0.0659066888122932 382731426.087001 39502679.1641419 -104.070769624224 1016.64329319941 311875902.430767 46291677.641553 -117.598278209931 1186.69610214012 -3.77441165071145e+28 17177991046.9993 7.50934940000002e+25 315268050.730419 308889950.730419 307780900 16 0.00307935627742814 0
38880 25016.3780409627 861.514778697047 1.28571584418199 0.0664520278771928 382714740.48123 39665338.5475947 -104.499299392393 1016.59896960297 311857048.268537 46481540.2881642 -118.078738421496 1186.58690809836 -3.77441165071145e+28 16575718420.4467 7.50934940000002e+25 315277131.445003 308899031.445003 307780900 16 0.00307954703995844 0
39040 25222.5143568168 872.190879687209 1.29098806551452 0.0669996080018151 382697986.312194 39827990.8247003 -104.927810433914 1016.55446385962 311838117.238075 46671385.4289813 -118.559131070081 1186.47727974639 -3.77441165071145e+28 15966971599.7207 7.50934940000002e+25 315286247.911152 308908147.911152 307780900 16 0.00307973831747024 0
